nivel,pergunta,A,B,C,correta
fácil,Qual a cor da lixeira para descartar papel?,Vermelha,Azul,Verde,B
médio,O que significa CO2?,Dióxido de Carbono,Monóxido de Carbono,Óxido Nitroso,A
difícil,Qual é o principal gás liberado na decomposição do lixo orgânico em aterros sanitários?,Oxigênio (O₂),Metano (CH₄),Nitrogênio (N₂),B
fácil,Qual energia é considerada renovável?,Carvão,Petróleo,Solar,C
médio,Onde será realizada a COP 30 - Conferência das Nações Unidas sobre Mudança do Clima – trigésima edição?,Paris - França,Madrid - Espanha,Belém - Brasil,C
difícil,Qual tratado internacional protege a camada de ozônio?,Protocolo de Montreal,Protocolo de Kyoto,Acordo de Paris,A
fácil,Qual desses itens pode ser reciclado infinitamente sem perder qualidade?,Papel,Alumínio,Plástico,B
médio,Qual evento natural é intensificado pelo aquecimento global?,Terremotos,Erupções vulcânicas,Furacões e secas extremas,C
difícil,"O que é ""Acordo de Paris""?","Pacto para limitar o aquecimento global a 1,5°C",Aliança para proteger oceanos,Tratado para reduzir armas nucleares,A
fácil,O que é compostagem?,Processo de reciclagem de plástico,Processo de extração de minérios,Processo de decomposição de orgânicos,C
médio,O que significa a sigla ESG?,"Environmental, Social, Governance","Earth, Society, Green","Energy, Sustainability, Growth",A
difícil,"O que é ""greenwashing""?",Técnica inovadora de reciclagem,Lavagem ecológica de produtos,Marketing enganoso sobre sustentabilidade,C
fácil,Qual símbolo identifica produtos recicláveis?,Círculo verde,Estrela azil,Trângulo com setas,C
médio,Qual país tem a maior área de floresta tropical do mundo?,Indonésia,Brasil,Congo,B
difícil,Qual é o principal poluente dos oceanos?,Óleo de cozinha,Microplásticos,Metais pesados,B
fácil,Qual desses materiais é biodegradável?,Casca de banana,Garrafa de plástico,Saco de salgadinho,A
médio,"O que são ""ODS""?",Objetivos de Desenvolvimento Sustentável,Organizações de Defesa Social,Órgãos de Direito Socioambiental,A
difícil,Qual é o principal objetivo do Protocolo de Kyoto?,Proteger espécies marinhas,Reduzir emissões de gases do efeito estufa,Banir o uso de plásticos,B
fácil,"O que significa a sigla ""3R's"" da sustentabilidade?","Recuperar, Rejeitar, Reabastecer","Reformar, Repensar, Recomeçar","Reduzir, Reutilizar, Reciclar",C
médio,Qual é o país com a maior taxa de reciclagem de lixo urbano?,Japão,Suécia,Estados Unidos,B
difícil,Qual empresa criou o primeiro avião comercial movido a biocombustível?,Airbus (França),Boeing (EUA),Embraer (Brasil),C
fácil,Qual é o maior consumidor individual de energia em uma casa?,Geladeira,Computador,Chuveiro elétrico,C
médio,Qual país tem a maior taxa de reciclagem de alumínio?,Brasil,Japão,Alemanha,A
difícil,Qual porcentagem aproximada da água doce da Terra está congelada?,"12,50%",33%,68%,C
fácil,Qual prática ajuda a economizar energia em casa?,Usar lâmpadas incandescentes,Deixar eletrônicos em stand-by,Trocar lâmpadas por LED,C
médio,Qual o principal objetivo do Fundo Amazônia?,Financiar projetos de preservação florestal,Promover mineração sustentável,Construir hidrelétricas,A
difícil,Qual é o maior desafio da energia eólica?,Poluição sonora,Intermitência dos ventos,Alto custo de instalação,B
fácil,"O que é ""slow fashion""?",Produção rápida de roupas,Moda sustentável e durável,Uso exclusivo de couro,B
médio,Qual metal pesado é comum em pilhas e extremamente tóxico?,Ferro,Cobre,Chumbo,C
difícil,Qual o maior consumidor de água na indústria?,Têxtil,Alimentício,Siderúrgica,A
fácil,"O que é ""logística reversa""?",Devolução de embalagens aos fabricantes,Transporte de produtos perecíveis,Rotas alternativas para caminhões,A
médio,O que é biodiversidade?,A diversidade de biomas em um continente,A variedade de espécies em um ecossistema,A quantidade de plantas em uma floresta,B
difícil," O que é ""mineração urbana""?",Extração de metais de lixo eletrônico,Escavação em parques urbanos,Garimpo em rios poluídos,A
fácil,Qual é a principal fonte de energia hidrelétrica?,Vento,Água,Sol,B
médio,"O que é ""pegada ecológica""?",Rastro deixado por animais em extinção,Área de floresta desmatada por ano,Medida do impacto humano sobre a Terra,C
difícil,Qual dessas fontes de energia NÃO é explorada comercialmente no Brasil?,Energia geotérmica,Hidrogênio verde,Energia das marés,A
fácil,Qual destes produtos do cotidiano é feito a partir de petróleo?,Sabonete de glicerina,Garrafa de vidro,Caneta esferográfica,C
médio,O que é silvicultura?,Cultivo de florestas para produção sustentável de madeira,Técnica de extração mineral em áreas verdes,Processo de reciclagem de papel,A
difícil,Qual cidade foi a primeira no Brasil a implementar a coleta seletiva de lixo em grande escala?,Porto Alegre em 2009,Curitiba em 1989,Belo Horizonte em 1961,B
fácil,Qual desses itens deve ser descartado na lixeira verde?,Plástico,Vidro,Metal,B
médio,Qual desses animais brasileiros está em perigo de extinção?,Capivara,Mico-leão-dourado,Quati,B
difícil,"O que é ""upcycling""?",Incinerar lixo para gerar energia,Processo industrial de reciclagem química,Transformar resíduos em produtos de maior valor,C
fácil,Qual animal é crucial para a polinização e está em risco de extinção?,Borboleta-monarca,Beija-flor,Abelha,C
médio,Qual destes países abriga a maior reserva de água doce subterrânea do mundo em seu território?,Brasil (Aquífero Guarani - Região Centro-Sul),Rússia (Aquífero Tunguska - Sibéria),Canadá (Bacia Sedimentar do Mackenzie - Norte),A
difícil,"O que é ""banco de sementes""?",Reserva genética para preservação,Centro de distribuição comercial de sementes híbridas,Técnica de armazenamento tradicional em celeiros comunitários,A
fácil,Qual destes materiais é mais fácil de reciclar?,Isopor,Papelão,Espuma,B
fácil,Qual é o tempo médio de decomposição de uma garrafa PET?,10 anos,100 anos,450 anos,B
fácil,Qual destes é um recurso renovável?,Carvão mineral,Energia eólica,Gás natural,B
fácil,Qual desses vai na lixeira amarela?,Folha de caderno,Lata de alumínio,Garrafa de vidro,B
fácil,Qual destes materiais é mais adequado para compostagem?,Cascas de frutas,Jornal impresso,Sacolas plásticas,A
